InvoiceDate,Revenue,Quantity,Num_Transactions,Revenue_lag_1,Quantity_lag_1,Revenue_lag_7,Quantity_lag_7,Revenue_lag_14,Quantity_lag_14,Revenue_rolling_7,Quantity_rolling_7,day_of_week,month,week_of_year,day
2009-12-01,43894.87,24335,2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tuesday,12,49,1
2009-12-02,52762.06,29679,2246,43894.87,24335.0,0.0,0.0,0.0,0.0,0.0,0.0,Wednesday,12,49,2
2009-12-03,67413.62,48009,2349,52762.06,29679.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,12,49,3
2009-12-04,33913.81,19954,1890,67413.62,48009.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,12,49,4
2009-12-05,9803.05,5119,400,33913.81,19954.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,12,49,5
2009-12-06,24390.1,11502,1862,9803.05,5119.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunday,12,49,6
2009-12-07,33002.49,15557,1736,24390.1,11502.0,0.0,0.0,0.0,0.0,37882.857142857145,22022.14285714286,Monday,12,50,7
2009-12-08,44763.34,22241,1724,33002.49,15557.0,43894.87,24335.0,0.0,0.0,38006.92428571428,21723.0,Tuesday,12,50,8
2009-12-09,30763.170000000002,15881,1403,44763.34,22241.0,52762.06,29679.0,0.0,0.0,34864.22571428571,19751.85714285714,Wednesday,12,50,9
2009-12-10,38598.21,22534,1850,30763.170000000002,15881.0,67413.62,48009.0,0.0,0.0,30747.73857142857,16112.57142857143,Thursday,12,50,10
2009-12-11,39204.17,21212,1397,38598.21,22534.0,33913.81,19954.0,0.0,0.0,31503.504285714287,16292.285714285714,Friday,12,50,11
2009-12-12,0.0,0,0,39204.17,21212.0,9803.05,5119.0,0.0,0.0,30103.068571428572,15561.0,Saturday,12,50,12
2009-12-13,21577.35,12205,1698,0.0,0.0,24390.1,11502.0,0.0,0.0,29701.247142857144,15661.42857142857,Sunday,12,50,13
2009-12-14,51245.159999999996,40815,1900,21577.35,12205.0,33002.49,15557.0,0.0,0.0,32307.342857142852,19269.714285714286,Monday,12,51,14
2009-12-15,46836.63,26401,1576,51245.159999999996,40815.0,44763.34,22241.0,43894.87,24335.0,32603.527142857143,19864.0,Tuesday,12,51,15
2009-12-16,36927.3,22044,1713,46836.63,26401.0,30763.170000000002,15881.0,52762.06,29679.0,33484.11714285715,20744.428571428572,Wednesday,12,51,16
2009-12-17,29758.87,15031,1600,36927.3,22044.0,38598.21,22534.0,67413.62,48009.0,32221.354285714282,19672.571428571428,Thursday,12,51,17
2009-12-18,31562.72,15225,1102,29758.87,15031.0,39204.17,21212.0,33913.81,19954.0,31129.71857142857,18817.285714285714,Friday,12,51,18
2009-12-19,0.0,0,0,31562.72,15225.0,0.0,0.0,9803.05,5119.0,31129.71857142857,18817.285714285714,Saturday,12,51,19
2009-12-20,11355.19,6236,617,0.0,0.0,21577.35,12205.0,24390.1,11502.0,29669.41,17964.571428571428,Sunday,12,51,20
2009-12-21,15549.64,8446,433,11355.19,6236.0,51245.159999999996,40815.0,33002.49,15557.0,24570.05,13340.42857142857,Monday,12,52,21
2009-12-22,10696.59,11913,273,15549.64,8446.0,46836.63,26401.0,44763.34,22241.0,19407.187142857143,11270.714285714286,Tuesday,12,52,22
2009-12-23,9485.67,4321,339,10696.59,11913.0,36927.3,22044.0,30763.170000000002,15881.0,15486.954285714284,8738.857142857143,Wednesday,12,52,23
2009-12-24,0.0,0,0,9485.67,4321.0,29758.87,15031.0,38598.21,22534.0,11235.687142857143,6591.571428571428,Thursday,12,52,24
2009-12-25,0.0,0,0,0.0,0.0,31562.72,15225.0,39204.17,21212.0,6726.727142857142,4416.571428571428,Friday,12,52,25
2009-12-26,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6726.727142857142,4416.571428571428,Saturday,12,52,26
2009-12-27,0.0,0,0,0.0,0.0,11355.19,6236.0,21577.35,12205.0,5104.557142857143,3525.714285714286,Sunday,12,52,27
2009-12-28,0.0,0,0,0.0,0.0,15549.64,8446.0,51245.159999999996,40815.0,2883.1800000000003,2319.1428571428573,Monday,12,53,28
2009-12-29,0.0,0,0,0.0,0.0,10696.59,11913.0,46836.63,26401.0,1355.0957142857144,617.2857142857143,Tuesday,12,53,29
2009-12-30,0.0,0,0,0.0,0.0,9485.67,4321.0,36927.3,22044.0,0.0,0.0,Wednesday,12,53,30
2009-12-31,0.0,0,0,0.0,0.0,0.0,0.0,29758.87,15031.0,0.0,0.0,Thursday,12,53,31
2010-01-01,0.0,0,0,0.0,0.0,0.0,0.0,31562.72,15225.0,0.0,0.0,Friday,1,53,1
2010-01-02,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturday,1,53,2
2010-01-03,0.0,0,0,0.0,0.0,0.0,0.0,11355.19,6236.0,0.0,0.0,Sunday,1,53,3
2010-01-04,13415.09,10593,594,0.0,0.0,0.0,0.0,15549.64,8446.0,1916.4414285714286,1513.2857142857142,Monday,1,1,4
2010-01-05,19051.19,11288,894,13415.09,10593.0,0.0,0.0,10696.59,11913.0,4638.04,3125.8571428571427,Tuesday,1,1,5
2010-01-06,8731.26,7458,290,19051.19,11288.0,0.0,0.0,9485.67,4321.0,5885.362857142857,4191.285714285715,Wednesday,1,1,6
2010-01-07,72989.38,40592,970,8731.26,7458.0,0.0,0.0,0.0,0.0,16312.417142857144,9990.142857142857,Thursday,1,1,7
2010-01-08,30292.7,12694,703,72989.38,40592.0,0.0,0.0,0.0,0.0,20639.945714285717,11803.57142857143,Friday,1,1,8
2010-01-09,0.0,0,0,30292.7,12694.0,0.0,0.0,0.0,0.0,20639.945714285717,11803.57142857143,Saturday,1,1,9
2010-01-10,23157.33,13291,676,0.0,0.0,0.0,0.0,0.0,0.0,23948.135714285716,13702.285714285714,Sunday,1,1,10
2010-01-11,19684.49,9414,528,23157.33,13291.0,13415.09,10593.0,0.0,0.0,24843.76428571429,13533.857142857143,Monday,1,2,11
2010-01-12,38833.58,20782,816,19684.49,9414.0,19051.19,11288.0,0.0,0.0,27669.820000000003,14890.142857142857,Tuesday,1,2,12
2010-01-13,12391.1,6541,475,38833.58,20782.0,8731.26,7458.0,0.0,0.0,28192.65428571429,14759.142857142857,Wednesday,1,2,13
2010-01-14,23721.64,11788,1286,12391.1,6541.0,72989.38,40592.0,0.0,0.0,21154.405714285716,10644.285714285714,Thursday,1,2,14
2010-01-15,13499.55,8414,634,23721.64,11788.0,30292.7,12694.0,0.0,0.0,18755.38428571429,10032.857142857143,Friday,1,2,15
2010-01-16,0.0,0,0,13499.55,8414.0,0.0,0.0,0.0,0.0,18755.38428571429,10032.857142857143,Saturday,1,2,16
2010-01-17,17363.25,9910,1076,0.0,0.0,23157.33,13291.0,0.0,0.0,17927.658571428572,9549.857142857143,Sunday,1,2,17
2010-01-18,12078.84,8319,829,17363.25,9910.0,19684.49,9414.0,13415.09,10593.0,16841.137142857147,9393.42857142857,Monday,1,3,18
2010-01-19,21892.791,12939,1100,12078.84,8319.0,38833.58,20782.0,19051.19,11288.0,14421.02442857143,8273.0,Tuesday,1,3,19
2010-01-20,13244.34,8208,737,21892.791,12939.0,12391.1,6541.0,8731.26,7458.0,14542.915857142858,8511.142857142857,Wednesday,1,3,20
2010-01-21,27359.23,72900,1143,13244.34,8208.0,23721.64,11788.0,72989.38,40592.0,15062.571571428572,17241.428571428572,Thursday,1,3,21
2010-01-22,29345.83,16974,913,27359.23,72900.0,13499.55,8414.0,30292.7,12694.0,17326.32585714286,18464.285714285714,Friday,1,3,22
2010-01-23,0.0,0,0,29345.83,16974.0,0.0,0.0,0.0,0.0,17326.32585714286,18464.285714285714,Saturday,1,3,23
2010-01-24,15552.32,8700,1206,0.0,0.0,17363.25,9910.0,23157.33,13291.0,17067.621571428575,18291.428571428572,Sunday,1,3,24
2010-01-25,18346.54,9104,1215,15552.32,8700.0,12078.84,8319.0,19684.49,9414.0,17963.007285714288,18403.571428571428,Monday,1,4,25
2010-01-26,38570.37,22305,1155,18346.54,9104.0,21892.791,12939.0,38833.58,20782.0,20345.518571428573,19741.571428571428,Tuesday,1,4,26
2010-01-27,23722.72,16985,1003,38570.37,22305.0,13244.34,8208.0,12391.1,6541.0,21842.43,20995.428571428572,Wednesday,1,4,27
2010-01-28,18914.83,10855,1096,23722.72,16985.0,27359.23,72900.0,23721.64,11788.0,20636.087142857148,12131.857142857143,Thursday,1,4,28
2010-01-29,25382.441,9471,782,18914.83,10855.0,29345.83,16974.0,13499.55,8414.0,20069.888714285717,11060.0,Friday,1,4,29
2010-01-30,0.0,0,0,25382.441,9471.0,0.0,0.0,0.0,0.0,20069.888714285717,11060.0,Saturday,1,4,30
2010-01-31,18261.86,10557,1337,0.0,0.0,15552.32,8700.0,17363.25,9910.0,20456.965857142863,11325.285714285714,Sunday,1,4,31
2010-02-01,16606.931,8581,945,18261.86,10557.0,18346.54,9104.0,12078.84,8319.0,20208.45028571429,11250.57142857143,Monday,2,5,1
2010-02-02,19532.03,10543,1063,16606.931,8581.0,38570.37,22305.0,21892.791,12939.0,17488.687428571433,9570.285714285714,Tuesday,2,5,2
2010-02-03,17230.061,9369,920,19532.03,10543.0,23722.72,16985.0,13244.34,8208.0,16561.16471428572,8482.285714285714,Wednesday,2,5,3
2010-02-04,22486.01,12794,1481,17230.061,9369.0,18914.83,10855.0,27359.23,72900.0,17071.33328571429,8759.285714285714,Thursday,2,5,4
2010-02-05,19420.74,9889,652,22486.01,12794.0,25382.441,9471.0,29345.83,16974.0,16219.661714285718,8819.0,Friday,2,5,5
2010-02-06,0.0,0,0,19420.74,9889.0,0.0,0.0,0.0,0.0,16219.661714285716,8819.0,Saturday,2,5,6
2010-02-07,17023.920000000002,11179,791,0.0,0.0,18261.86,10557.0,15552.32,8700.0,16042.813142857147,8907.857142857143,Sunday,2,5,7
2010-02-08,13016.04,7043,874,17023.920000000002,11179.0,16606.931,8581.0,18346.54,9104.0,15529.828714285715,8688.142857142857,Monday,2,6,8
2010-02-09,18398.26,10629,885,13016.04,7043.0,19532.03,10543.0,38570.37,22305.0,15367.861571428573,8700.42857142857,Tuesday,2,6,9
2010-02-10,6082.34,3066,479,18398.26,10629.0,17230.061,9369.0,23722.72,16985.0,13775.330000000002,7800.0,Wednesday,2,6,10
2010-02-11,15061.87,9027,803,6082.34,3066.0,22486.01,12794.0,18914.83,10855.0,12714.738571428574,7261.857142857143,Thursday,2,6,11
2010-02-12,9728.96,7324,588,15061.87,9027.0,19420.74,9889.0,25382.441,9471.0,11330.198571428573,6895.428571428572,Friday,2,6,12
2010-02-13,0.0,0,0,9728.96,7324.0,0.0,0.0,0.0,0.0,11330.198571428573,6895.428571428572,Saturday,2,6,13
2010-02-14,17772.19,10892,1149,0.0,0.0,17023.920000000002,11179.0,18261.86,10557.0,11437.094285714285,6854.428571428572,Sunday,2,6,14
2010-02-15,42318.211,96358,854,17772.19,10892.0,13016.04,7043.0,16606.931,8581.0,15623.118714285714,19613.714285714286,Monday,2,7,15
2010-02-16,25669.010000000002,15744,1344,42318.211,96358.0,18398.26,10629.0,19532.03,10543.0,16661.797285714285,20344.428571428572,Tuesday,2,7,16
2010-02-17,26455.22,24986,984,25669.010000000002,15744.0,6082.34,3066.0,17230.061,9369.0,19572.208714285716,23475.85714285714,Wednesday,2,7,17
